Timestamp_ms,CO2_ppm
RTC_ERR,390032,676,0.00
RTC_ERR,400032,670,0.00
RTC_ERR,410032,665,0.00
RTC_ERR,420032,660,0.00
RTC_ERR,430032,654,0.00
RTC_ERR,440032,647,0.00
RTC_ERR,450032,642,0.00
RTC_ERR,460032,637,0.00
RTC_ERR,470032,631,0.00
RTC_ERR,480032,627,0.00
RTC_ERR,490032,623,0.00
RTC_ERR,500032,618,0.00
RTC_ERR,510032,615,0.00
RTC_ERR,520032,611,0.00
RTC_ERR,530032,608,0.00
RTC_ERR,540032,606,0.00
RTC_ERR,550032,604,0.00
RTC_ERR,560032,601,0.00
RTC_ERR,570032,599,0.00
RTC_ERR,580032,596,0.00
RTC_ERR,590032,594,0.00
RTC_ERR,1190032,582,0.00
RTC_ERR,1790032,608,0.00
RTC_ERR,2390032,604,0.00
RTC_ERR,2990032,610,0.00
RTC_ERR,3590032,607,0.00
RTC_ERR,4190032,611,0.00
RTC_ERR,4790032,602,0.00
RTC_ERR,5390032,617,0.00
RTC_ERR,5990032,604,0.00
RTC_ERR,6590032,589,0.00
RTC_ERR,7790032,594,0.00
RTC_ERR,8390032,588,0.00
RTC_ERR,8990032,616,0.00
RTC_ERR,9590032,583,0.00
RTC_ERR,10190032,615,0.00
RTC_ERR,10790032,589,0.00
RTC_ERR,11390032,577,0.00
RTC_ERR,11990032,589,0.00
RTC_ERR,13190032,584,0.00
RTC_ERR,13790032,584,0.00
RTC_ERR,14390032,592,0.00
RTC_ERR,15590032,574,0.00
RTC_ERR,16190033,587,0.00
RTC_ERR,16790032,590,0.00
RTC_ERR,17390032,606,0.00
RTC_ERR,17990032,617,0.00
RTC_ERR,18590032,594,0.00
RTC_ERR,19190032,593,0.00
RTC_ERR,19790032,595,0.00
RTC_ERR,20390032,581,0.00
RTC_ERR,20990032,568,0.00
RTC_ERR,21590032,566,0.00
RTC_ERR,22190032,565,0.00
RTC_ERR,22790032,540,0.00
RTC_ERR,23390032,531,0.00
RTC_ERR,23990032,557,0.00
RTC_ERR,24590032,553,0.00
RTC_ERR,25190032,560,0.00
RTC_ERR,26390032,576,0.00
RTC_ERR,26990032,568,0.00
RTC_ERR,27590032,575,0.00
RTC_ERR,28790032,596,0.00
RTC_ERR,29390032,596,0.00
RTC_ERR,29990032,554,0.00
RTC_ERR,30590032,571,0.00
RTC_ERR,31190032,547,0.00
RTC_ERR,31790032,535,0.00
RTC_ERR,32390032,534,0.00
RTC_ERR,32990032,532,0.00
RTC_ERR,33590032,529,0.00
RTC_ERR,34190032,552,0.00
RTC_ERR,34790032,551,0.00
RTC_ERR,35390032,575,0.00
RTC_ERR,35990032,630,0.00
RTC_ERR,37190032,647,0.00
RTC_ERR,37790032,653,0.00
RTC_ERR,38390032,634,0.00
RTC_ERR,38990032,440,0.00
RTC_ERR,39590032,390,0.00
RTC_ERR,40190032,422,0.00
RTC_ERR,40790032,409,0.00
RTC_ERR,41390032,475,0.00
RTC_ERR,41990032,470,0.00
RTC_ERR,42590032,422,0.00
